member_casual,month,number_of_rides,average_duration
casual,01,14568,22.43792215815486
casual,02,8487,31.42238521660579
casual,03,74969,32.456812149021594
casual,04,119254,32.37338048758672
casual,05,214437,33.45215098140713
casual,06,300515,31.086581756872924
casual,07,365311,28.75072422310488
casual,08,338031,27.353323511748922
casual,09,289979,26.445574219742348
casual,10,187238,24.57192450250483
casual,11,69232,20.375788652646175
casual,12,44649,20.304290129678158
member,01,68039,12.16454043514259
member,02,33791,14.945985617472108
member,03,128348,13.829448192933794
member,04,175259,14.446396285877853
member,05,230502,14.546454622230321
member,06,299741,14.351875897302449
member,07,317690,14.010684105049997
member,08,327943,13.738910369586584
member,09,323287,13.324246825060499
member,10,284140,12.206997020248235
member,11,182919,11.099917632030207
member,12,129321,10.736601943999814
